Ticker,GDXU,GDXU,GDXU,GDXU,GDXU,GDXU,FUTU,FUTU,FUTU,FUTU,FUTU,FUTU,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,LABU,LABU,LABU,LABU,LABU,LABU,ASTS,ASTS,ASTS,ASTS,ASTS,ASTS,TMF,TMF,TMF,TMF,TMF,TMF,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02 00:00:00+00:00,33.54999923706055,34.189998626708984,31.59000015258789,32.02000045776367,32.02000045776367,1015200,53.18000030517578,53.40999984741211,51.33000183105469,51.4900016784668,51.4900016784668,1937600,250.0800018310547,251.25,244.41000366210938,248.4199981689453,248.4199981689453,104654200,118.12000274658203,131.9499969482422,116.69000244140625,125.73999786376953,125.41893768310547,3157400,5.860000133514404,5.86299991607666,4.599999904632568,4.849999904632568,4.849999904632568,6285200,63.09000015258789,63.93000030517578,62.66999816894531,63.279998779296875,60.371368408203125,10547000,49.24399948120117,49.29499816894531,47.595001220703125,48.167999267578125,48.15434646606445,411254000
2024-01-03 00:00:00+00:00,29.700000762939453,30.260000228881836,28.56999969482422,29.280000686645508,29.280000686645508,1153300,51.060001373291016,52.279998779296875,50.79999923706055,52.150001525878906,52.150001525878906,1113800,244.97999572753906,245.67999267578125,236.32000732421875,238.4499969482422,238.4499969482422,121082600,122.98999786376953,123.9010009765625,115.0,117.33999633789062,117.0403823852539,4169100,5.03000020980835,5.130000114440918,4.860000133514404,4.929999828338623,4.929999828338623,2925300,61.459999084472656,64.31999969482422,61.029998779296875,64.06999969482422,61.12506103515625,13740100,47.48500061035156,48.183998107910156,47.31999969482422,47.569000244140625,47.555519104003906,320896000
2024-01-04 00:00:00+00:00,29.510000228881836,29.850000381469727,28.290000915527344,29.329999923706055,29.329999923706055,1156100,52.150001525878906,53.13999938964844,51.97999954223633,52.369998931884766,52.369998931884766,1116700,239.25,242.6999969482422,237.72999572753906,237.92999267578125,237.92999267578125,102629300,118.8499984741211,124.80000305175781,117.00599670410156,122.08000183105469,121.7682876586914,2196500,4.929999828338623,5.039000034332275,4.820000171661377,4.820000171661377,4.820000171661377,1897600,61.45000076293945,61.88999938964844,60.79999923706055,61.15999984741211,58.34881591796875,11865700,47.766998291015625,48.5,47.507999420166016,47.99800109863281,47.984397888183594,306535000
2024-01-05 00:00:00+00:00,29.3799991607666,30.989999771118164,28.40999984741211,29.15999984741211,29.15999984741211,1131700,51.68000030517578,52.209999084472656,50.86000061035156,51.5099983215332,51.5099983215332,961500,236.86000061035156,240.1199951171875,234.89999389648438,237.49000549316406,237.49000549316406,92379400,118.9000015258789,122.45999908447266,112.01000213623047,121.55999755859375,121.24960327148438,3431400,4.809999942779541,5.110000133514404,4.71999979019165,5.010000228881836,5.010000228881836,1501600,59.68000030517578,61.900001525878906,59.15999984741211,59.40999984741211,56.67925262451172,14175900,48.46200180053711,49.547000885009766,48.305999755859375,49.09700012207031,49.08308029174805,415039000
2024-01-08 00:00:00+00:00,27.940000534057617,29.389999389648438,27.479999542236328,28.850000381469727,28.850000381469727,1183400,50.22999954223633,51.02000045776367,49.540000915527344,50.93000030517578,50.93000030517578,1982600,236.13999938964844,241.25,235.3000030517578,240.4499969482422,240.4499969482422,85166600,118.19000244140625,138.58999633789062,114.38999938964844,138.27999877929688,137.92691040039062,5003600,5.019999980926514,5.019999980926514,4.78000020980835,4.940000057220459,4.940000057220459,1494200,59.220001220703125,61.279998779296875,58.93000030517578,61.0,58.196170806884766,10497200,49.512001037597656,52.275001525878906,49.479000091552734,52.25299835205078,52.23818588256836,642510000
2024-01-09 00:00:00+00:00,29.100000381469727,29.100000381469727,27.100000381469727,27.399999618530273,27.399999618530273,1174800,49.900001525878906,50.040000915527344,48.43000030517578,48.95000076293945,48.95000076293945,1752800,238.11000061035156,238.9600067138672,232.0399932861328,234.9600067138672,234.9600067138672,96705700,134.0,142.19000244140625,132.00999450683594,138.89999389648438,138.5453338623047,4344300,4.909999847412109,5.019999980926514,4.809000015258789,4.889999866485596,4.889999866485596,1024800,59.900001525878906,60.86000061035156,59.77000045776367,59.97999954223633,57.22305679321289,12359400,52.4010009765625,54.32500076293945,51.689998626708984,53.13999938964844,53.12493896484375,773100000
2024-01-10 00:00:00+00:00,27.350000381469727,27.8700008392334,26.6200008392334,27.399999618530273,27.399999618530273,1057500,48.75,48.9900016784668,47.630001068115234,48.22999954223633,48.22999954223633,1559800,235.10000610351562,235.5,231.2899932861328,233.94000244140625,233.94000244140625,91628500,139.10000610351562,142.0500030517578,129.89999389648438,134.13999938964844,133.7974853515625,3531400,4.900000095367432,5.010000228881836,4.804999828338623,4.949999809265137,4.949999809265137,1738100,60.369998931884766,60.63999938964844,58.93000030517578,58.9900016784668,56.278564453125,10955900,53.61600112915039,54.599998474121094,53.48899841308594,54.349998474121094,54.334598541259766,533796000
2024-01-11 00:00:00+00:00,27.299999237060547,27.770000457763672,25.530000686645508,26.719999313354492,26.719999313354492,1353900,49.09000015258789,49.25,47.7400016784668,48.47999954223633,48.47999954223633,1089800,230.57000732421875,230.92999267578125,225.3699951171875,227.22000122070312,227.22000122070312,105873600,130.10000610351562,130.49000549316406,120.06999969482422,125.20999908447266,124.89028930664062,4718700,4.880000114440918,4.880000114440918,4.199999809265137,4.269999980926514,4.269999980926514,4229700,58.86000061035156,60.099998474121094,58.04999923706055,59.84000015258789,57.0894889831543,14425200,54.999000549316406,55.34600067138672,53.560001373291016,54.821998596191406,54.806461334228516,596759000
